Season,Competition,Matchday,Date,Home/Away,Opponent,Result,Position,Minute,Score,Type,Assist
,,,,,,,,50',3:00,Right-footed shot,Cesc Fàbregas
,,,,,,,,58',5:00,Left-footed shot,
,,,,,,,,85',7:00,Left-footed shot,Seydou Keita
,LaLiga,27,3/11/2012,A,Racing (18.),0:02,CF,28',0:01,Left-footed shot,Cesc Fàbregas
,,,,,,,,55',0:02,Penalty,
,LaLiga,28,3/17/2012,A,Sevilla FC (12.),0:02,CF,25',0:02,Left-footed shot,Andrés Iniesta
,LaLiga,29,3/20/2012,H,Granada CF (14.),5:03,CF,16',2:00,Left-footed shot,Isaac Cuenca
,,,,,,,,66',3:02,Left-footed shot,Dani Alves
,,,,,,,,85',5:02,Left-footed shot,Dani Alves
,LaLiga,30,3/24/2012,A,RCD Mallorca (9.),0:02,CF,25',0:01,Direct free kick,
,LaLiga,31,3/31/2012,H,Athletic (12.),2:00,CF,57',2:00,Penalty,
,Champions League,Quarter-Finals,4/3/2012,H,AC Milan,3:01,RW,11',1:00,Penalty,
,,,,,,,,42',2:01,Penalty,
,LaLiga,32,4/7/2012,A,Real Zaragoza (18.),1:04,CF,39',1:02,Left-footed shot,Alexis Sánchez
,,,,,,,,86',1:03,Penalty,
,LaLiga,33,4/10/2012,H,Getafe (7.),4:00,CF,44',2:00,Left-footed shot,Andrés Iniesta
,LaLiga,34,4/14/2012,A,Levante (5.),1:02,CF,64',1:01,Left-footed shot,Alexis Sánchez
,,,,,,,,73',1:02,Penalty,
,LaLiga,36,4/29/2012,A,Rayo Vallecano (16.),0:07,CF,16',0:01,Left-footed shot,Pedro
,,,,,,,,88',0:07,Left-footed shot,Pedro
,LaLiga,20,5/2/2012,H,Málaga CF (10.),4:01,CF,34',2:01,Penalty,
,,,,,,,,60',3:01,Penalty,
,,,,,,,,63',4:01,Left-footed shot,Andrés Iniesta
,LaLiga,37,5/5/2012,H,Espanyol (13.),4:00,CF,11',1:00,Direct free kick,
,,,,,,,,63',2:00,Penalty,
,,,,,,,,73',3:00,Left-footed shot,Adriano
,,,,,,,,78',4:00,Penalty,
,Copa del Rey,Final,5/25/2012,H,Athletic,3:00,CF,20',2:00,Right-footed shot,Andrés Iniesta
Season 12/13,,,,,,,,,,,
,LaLiga,1,8/19/2012,H,Real Sociedad (4.),5:01,CF,10',2:01,Left-footed shot,Pedro
,,,,,,,,15',3:01,Left-footed shot,Cristian Tello
,Supercopa,final,8/23/2012,H,Real Madrid,3:02,CF,60',2:01,Penalty,
,LaLiga,2,8/26/2012,A,CA Osasuna (19.),1:02,CF,74',1:01,Left-footed shot,Alexis Sánchez
,,,,,,,,79',1:02,Left-footed shot,Jordi Alba
,Supercopa,final,8/29/2012,A,Real Madrid,2:01,CF,45',2:01,Direct free kick,
,LaLiga,4,9/15/2012,A,Getafe (10.),1:04,CF,74',0:02,Penalty,
,,,,,,,,78',0:03,Left-footed shot,Pedro
,Champions League,Group Stage,9/19/2012,H,Spartak Moscow,3:02,CF,71',2:02,Left-footed shot,Cristian Tello
,,,,,,,,80',3:02,Header,Alexis Sánchez
,LaLiga,7,10/7/2012,H,Real Madrid (6.),2:02,CF,31',1:01,Left-footed shot,
,,,,,,,,60',2:01,Direct free kick,
,LaLiga,8,10/20/2012,A,Dep. La Coruña (18.),4:05,CF,17',0:03,Left-footed shot,Cesc Fàbregas
,,,,,,,,43',2:04,Left-footed shot,Cesc Fàbregas
,,,,,,,,76',3:05,Left-footed shot,Xavi
,LaLiga,9,10/27/2012,A,Rayo Vallecano (12.),0:05,CF,48',0:02,Left-footed shot,Martín Montoya
,,,,,,,,89',0:05,Right-footed shot,Cesc Fàbregas
,Champions League,Group Stage,11/7/2012,A,Celtic,2:01,CF,90'+1,2:01,Tap-in,
,LaLiga,11,11/11/2012,A,RCD Mallorca (13.),2:04,CF,43',0:02,Left-footed shot,Sergio Busquets
,,,,,,,,70',2:04,Left-footed shot,Alexis Sánchez
,LaLiga,12,11/17/2012,H,Real Zaragoza (11.),3:01,CF,15',1:00,Left-footed shot,Jordi Alba
,,,,,,,,60',3:01,Left-footed shot,Martín Montoya
,Champions League,Group Stage,11/20/2012,A,Spartak Moscow,0:03,CF,27',0:02,Right-footed shot,
,,,,,,,,39',0:03,Left-footed shot,Pedro
,LaLiga,13,11/25/2012,A,Levante (4.),0:04,CF,46',0:01,Left-footed shot,Andrés Iniesta
,,,,,,,,51',0:02,Left-footed shot,Andrés Iniesta
,LaLiga,14,12/1/2012,H,Athletic (14.),5:01,CF,24',2:00,Left-footed shot,Xavi
,,,,,,,,69',5:01,Right-footed shot,Pedro
,LaLiga,15,12/9/2012,A,Real Betis (4.),1:02,CF,16',0:01,Left-footed shot,Andrés Iniesta
,,,,,,,,25',0:02,Left-footed shot,Andrés Iniesta
,Copa del Rey,last 16,12/12/2012,A,Córdoba CF,0:02,CF,10',0:01,Left-footed shot,David Villa
,,,,,,,,73',0:02,Left-footed shot,Alexis Sánchez
,LaLiga,16,12/16/2012,H,Atlético Madrid (2.),4:01,CF,58',3:01,Left-footed shot,Alexis Sánchez
,,,,,,,,88',4:01,Left-footed shot,
,LaLiga,17,12/22/2012,A,Real Valladolid (8.),1:03,CF,59',0:02,Left-footed shot,Xavi
,LaLiga,18,1/6/2013,H,Espanyol (18.),4:00,CF,28',4:00,Penalty,
,LaLiga,19,1/13/2013,A,Málaga CF (4.),1:03,CF,26',0:01,Right-footed shot,
,Copa del Rey,Quarter-Finals,1/16/2013,H,Málaga CF,2:02,CF,29',1:01,Left-footed shot,
,LaLiga,20,1/19/2013,A,Real Sociedad (9.),3:02,CF,6',0:01,Left-footed shot,Andrés Iniesta
,Copa del Rey,Quarter-Finals,1/24/2013,A,Málaga CF,2:04,CF,79',2:04,Header,Dani Alves
,LaLiga,21,1/27/2013,H,CA Osasuna (18.),5:01,CF,11',1:00,Right-footed shot,Xavi
,,,,,,,,28',2:01,Penalty,
,,,,,,,,56',4:01,Left-footed shot,David Villa
,,,,,,,,58',5:01,Left-footed shot,Adriano
,LaLiga,22,2/3/2013,A,Valencia (7.),1:01,CF,39',1:01,Penalty,
,LaLiga,23,2/10/2013,H,Getafe (12.),6:01,CF,13',2:00,Left-footed shot,Thiago
,LaLiga,24,2/16/2013,A,Granada CF (14.),1:02,CF,49',1:01,Tap-in,
,,,,,,,,72',1:02,Direct free kick,
,LaLiga,25,2/23/2013,H,Sevilla FC (10.),2:01,CF,60',2:01,Left-footed shot,Cristian Tello
,LaLiga,26,3/2/2013,A,Real Madrid (3.),2:01,CF,18',1:01,Left-footed shot,Dani Alves
,LaLiga,27,3/9/2013,H,Dep. La Coruña (20.),2:00,CF,88',2:00,Left-footed shot,Alexis Sánchez
,Champions League,last 16,3/12/2013,H,AC Milan,4:00,CF,5',1:00,Left-footed shot,Xavi
,,,,,,,,40',2:00,Left-footed shot,Andrés Iniesta
